"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Congo, Rep.","COG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.4124698638916","14.7077798843384","","","14.1265296936035","","","","9.05484962463379","9.5199499130249","8.56180953979492","7.59781980514526","","","","","24.7277793884277","","","","6.55592012405396","7.95039987564087","","15.6822004318237","15.5676803588867","","",
"Colombia","COL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","18.0922908782959","16.4075202941895","","","","17.2254505157471","","","","","","","","","12.475359916687","13.1519298553467","13.2868299484253","13.4677200317383","15.2995595932007","15.537260055542","15.4397802352905","15.5356101989746","13.7688302993774","14.4814500808716","14.6772899627686","16.081169128418","16.4185791015625","15.5291404724121","15.5128297805786","16.9007892608643","15.7360601425171","15.1337795257568","16.1397800445557","16.1403198242188","15.9826202392578","","",
"Comoros","COM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1350708007813","","","","15.789719581604","","","","","","29.2331199645996","","","21.4148693084717","18.4915103912354","16.0707302093506","18.8895301818848","13.2536497116089","","","","","",
"Cabo Verde","CPV","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2559204101563","16.7619400024414","","","19.7662296295166","","20.8404808044434","","17.5405807495117","18.3287506103516","18.2409896850586","15.886549949646","14.2168998718262","15.1532802581787","","14.7782297134399","16.282190322876","16.7482299804688","17.8430099487305","16.4125804901123","","","",
"Costa Rica","CRI","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3223705291748","","18.3639602661133","17.6590900421143","","","","","","16.7436904907227","19.1146602630615","","","21.9236907958984","18.8195095062256","19.1528205871582","19.24049949646","20.1517200469971","20.4308891296387","","20.6433391571045","21.0218906402588","20.8109607696533","23.4082202911377","22.8808898925781","23.0096206665039","23.5015602111816","22.8309097290039","23.1095294952393","23.3734302520752","23.4232006072998","30.1514205932617","26.086669921875","","",
"Caribbean small states","CSS","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9058904647827","13.8518800735474","16.3537693023682","12.7515697479248","12.7980003356934","16.7000198364258","15.129720211029","14.4104752540588","13.716215133667","8.92667007446289","11.2300395965576","14.2638602256775","16.0782899856567","16.3245697021484","13.6362051963806","11.7330198287964","14.2693700790405","","17.1730499267578","19.1193809509277","17.5528392791748","16.1029396057129","18.5819301605225","18.8092594146729","20.573860168457","21.7974891662598","20.0514793395996","19.1451206207275","18.4025402069092","18.5839996337891","17.3139896392822","",
"Cuba","CUB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9041204452515","14.2683095932007","14.3215703964233","14.914210319519","16.515230178833","15.8329801559448","15.8393602371216","16.1796207427979","16.72047996521","17.5907497406006","17.2012500762939","15.6494903564453","15.4976501464844","","15.3621301651001","15.9277801513672","16.2109508514404","16.692289352417","15.872389793396","","","",
